shelf,flat,col,row,acs,trt,days,date,hyp,int1,int2,int3,int4,petleng,leafleng,leafwid,leafnum,ndvi,lat,lon,alt,species,who
Z,6,G,1,LA1317,H,29,5/6/08,35.39,2.63,4.36,9.48,9.02,27.09,35.66,49.97,6,132,-13.4167,-73.8417,2000,S. chmielewskii,Pepe
Z,6,H,1,LA361,H,29,5/6/08,32.29,4.11,6.93,7.93,10.55,13.82,56.55,47.05,6,111,-11.5667,-76.73,1840,S. habrochaites,Pepe
Z,6,I,1,LA1918,H,29,5/6/08,38.8,3.22,0.53,7.38,5.42,24.72,36.36,46.68,6,118,-14.2667,-74.9167,2920,S. habrochaites,Pepe
Z,6,A,2,LA1367,H,29,5/6/08,22.04,1.61,1.64,0.63,,8.27,13.37,14.78,4,111,-11.9008,-76.6633,1020,S. pennellii,Pepe
Z,6,B,2,LA3788,H,29,5/6/08,28.02,0.76,0.19,1.06,,16.76,28.09,35.66,4,112,-16.1383,-73.6428,480,S. pennellii,Pepe
Z,6,C,2,LA1336,H,29,5/6/08,51.69,7.41,5.59,4.48,3.78,12.7,41.82,33.61,5,107,-16.2094,-73.6222,75,S. peruvianum,Pepe
Z,6,D,2,LA3795,H,29,5/6/08,14.85,2.92,2.61,1.04,,7.36,27.14,20.11,4,123,-10.15,-77.35,3540,S. peruvianum,Pepe
Z,6,E,2,LA2773,H,29,5/6/08,26.6,1.34,0.64,2.26,3.2,12.52,29.72,36.19,6,115,-18.2667,-69.5833,3260,S. chilense,Pepe
Z,6,F,2,LA1028,H,29,5/6/08,30.04,5.69,3.67,8.57,7.04,13.69,58.59,60.4,6,131,-13.925,-73.025,2880,S. chmielewskii,Pepe
Z,6,G,2,LA1318,H,29,5/6/08,27.4,1.86,2.85,3.7,1.49,4.32,14.52,8.29,4,136,-13.6833,-72.9583,2300,S. chmielewskii,Pepe
Z,6,H,2,LA1361,H,29,5/6/08,33.71,2.52,3.09,5.65,2.87,23.3,29.28,35.97,5,111,-9.55,-77.8917,1340,S. habrochaites,Pepe
Z,6,I,2,LA1928,H,29,5/6/08,26.17,2.51,1.53,8.47,5.33,26.07,31.59,36.57,6,118,-14.3833,-74.8167,2940,S. habrochaites,Pepe
Z,6,A,3,LA1912,H,29,5/6/08,27.01,1.9,1.9,3.2,1.74,17.76,40.48,48.05,4,106,-14.4492,-75.2203,620,S. pennellii,Pepe
Z,6,B,3,LA3791,H,29,5/6/08,22.88,0.13,0.52,0.46,0.49,8.25,16.66,18.08,4,110,-15.7878,-73.3939,1935,S. pennellii,Pepe
Z,6,C,3,LA1474,H,29,5/6/08,47.47,3.86,0.53,3.14,1.42,21.44,35.34,53.4,6,113,-16.6072,-72.6964,27,S. peruvianum,Pepe
Z,6,D,3,LA1958,H,29,5/6/08,29.38,2.62,0.87,3.43,4.56,18.26,37.42,34.63,6,100,-17.25,-71.25,1336,S. chilense,Pepe
Z,6,E,3,LA2884,H,29,5/6/08,29.94,1.99,1.19,3.05,1.28,4.88,37.47,41.89,5,108,-23.6833,-68.0667,2390,S. chilense,Pepe
Z,6,F,3,LA1306,H,29,5/6/08,20.54,1.38,2.22,2.72,6.65,19.59,47.92,44.23,6,130,-12.95,-74.0167,3340,S. chmielewskii,Pepe
Z,6,G,3,LA2663,H,29,5/6/08,20.25,1.79,5.05,1.44,2.41,8.25,24.61,31.03,4,137,-13.7333,-71.9833,3110,S. chmielewskii,Pepe
Z,6,H,3,LA1363,H,29,5/6/08,36.12,5.9,2.66,12.41,6.16,14.64,46.09,47.73,6,121,-10.1417,-77.3833,3140,S. habrochaites,Pepe
Z,6,I,3,LA2167,H,29,5/6/08,21.46,1.8,2.14,2.42,2.92,13.7,20.17,26.4,5,124,-7.18,-78.52,1340,S. habrochaites,Pepe
Z,6,A,4,LA2560,H,29,5/6/08,26.98,2.89,3.07,2.37,3.98,20.98,25.02,33.54,4,102,-8.66,-78.29,480,S. pennellii,Pepe
Z,6,B,4,LA446,H,29,5/6/08,38.31,2.67,4.52,4.19,4.61,14.31,30.47,29.11,6,124,-15.7833,-74.3917,2240,S. peruvianum,Pepe
Z,6,C,4,LA1954,H,29,5/6/08,39.76,5.96,3.66,6.42,3.87,19.33,41.16,55.62,7,107,-17.0167,-72.0833,0,S. peruvianum,Pepe
Z,6,D,4,LA1969,H,29,5/6/08,12.18,0.5,0.53,0.24,0.25,2.82,21.15,18.94,4,124,-17.5333,-70.0333,3015,S. chilense,Pepe
Z,6,E,4,LA2891,H,29,5/6/08,27.92,3.05,4,2.84,3.44,12.33,35.56,49.38,5,107,-25.4,-70.4,660,S. chilense,Pepe
Z,6,F,4,LA1316,H,29,5/6/08,36.06,3.79,2.63,6.26,2.32,26.31,59.72,51.52,5,135,-13.3925,-73.915,3100,S. chmielewskii,Pepe
Z,6,G,4,LA2695,H,29,5/6/08,25.16,2.41,4.03,6.98,5.74,18.48,47.3,56.93,5,128,-14.1525,-71.3886,3480,S. chmielewskii,Pepe
Z,6,H,4,LA1691,H,29,5/6/08,20.15,4.09,0.82,2.8,2.31,10.6,42.61,44.4,5,127,-12.45,-75.925,3540,S. habrochaites,Pepe
Z,6,I,4,LA2204,H,29,5/6/08,25.34,4.2,4.92,4.97,3.47,13,47.02,54.22,5,128,-5.7667,-77.8667,2160,S. habrochaites,Pepe
V,7,B,1,LA2580,L,28,5/5/08,38.09,6.66,10.43,11.14,6.85,29.31,37.42,50.61,5,111,-9.5167,-78.0083,740,S. pennellii,Dan
V,7,C,1,LA1305,L,28,5/5/08,28.98,6.27,8.42,26.17,7.49,18.27,52.99,42.86,5,120,-13.3833,-75.3583,3360,S. peruvianum,Dan
V,7,D,1,LA1973,L,28,5/5/08,42.84,12.26,17.36,22.2,11.79,21.25,48.88,53.84,5,110,-16.2333,-71.7,2585,S. peruvianum,Dan
V,7,E,1,LA2748,L,28,5/5/08,37.78,8.83,0.02,20.27,10.9,20.91,46.92,40.6,6,105,-20.4833,-69.9833,1020,S. chilense,Dan
V,7,F,1,LA2931,L,28,5/5/08,44.79,11.04,0.08,10.69,10.89,14.27,31.23,33.01,6,106,-20.9167,-69.0667,2460,S. chilense,Dan
V,7,G,1,LA1317,L,28,5/5/08,25.63,3.75,6.12,5.47,,17.15,20.62,29,4,132,-13.4167,-73.8417,2000,S. chmielewskii,Dan
V,7,A,2,LA1367,L,28,5/5/08,37.88,7.13,9.3,12.61,,26.45,41.27,51.92,4,111,-11.9008,-76.6633,1020,S. pennellii,Dan
V,7,B,2,LA3788,L,28,5/5/08,47.31,10.84,8.81,7.63,,28.77,24.95,32.25,4,112,-16.1383,-73.6428,480,S. pennellii,Dan
V,7,C,2,LA1336,L,28,5/5/08,52.88,13.83,0.08,22.23,16.69,25.28,47.54,48.07,8,107,-16.2094,-73.6222,75,S. peruvianum,Dan
V,7,D,2,LA3795,L,28,5/5/08,30.16,7.78,4.38,20.98,13.63,18.73,37.59,40.93,5,123,-10.15,-77.35,3540,S. peruvianum,Dan
V,7,E,2,LA2773,L,28,5/5/08,29.84,5.39,2.75,12.11,13.3,18.53,42.54,45.98,7,115,-18.2667,-69.5833,3260,S. chilense,Dan
V,7,F,2,LA1028,L,28,5/5/08,34.84,0.07,4.85,9.4,11.47,31.81,57.99,53.74,6,131,-13.925,-73.025,2880,S. chmielewskii,Dan
V,7,G,2,LA1318,L,28,5/5/08,24.18,9.56,18.95,14.19,9.94,24.49,44.73,55.38,5,136,-13.6833,-72.9583,2300,S. chmielewskii,Dan
V,7,A,3,LA1912,L,28,5/5/08,25.09,11.19,3.88,11.17,,17.72,37.41,31.52,4,106,-14.4492,-75.2203,620,S. pennellii,Dan
V,7,B,3,LA3791,L,28,5/5/08,32.8,1.27,2.8,7.5,,15.34,32,37.34,4,110,-15.7878,-73.3939,1935,S. pennellii,Dan
V,7,C,3,LA1474,L,28,5/5/08,53.15,6.9,6.56,8.53,4.15,20.6,45.53,51.26,5,113,-16.6072,-72.6964,27,S. peruvianum,Dan
V,7,D,3,LA1958,L,28,5/5/08,48.57,10.47,0.09,13.56,11.54,17.05,39.13,58.42,5,100,-17.25,-71.25,1336,S. chilense,Dan
V,7,E,3,LA2884,L,28,5/5/08,51.35,5.65,0.06,12.11,9.99,14.85,61.59,58.47,6,108,-23.6833,-68.0667,2390,S. chilense,Dan
V,7,F,3,LA1306,L,28,5/5/08,31.18,1.09,1.09,11.23,9.97,25.94,32.02,47.89,5,130,-12.95,-74.0167,3340,S. chmielewskii,Dan
V,7,G,3,LA2663,L,28,5/5/08,23.69,1.21,9.46,7.77,,19.37,26.04,37,4,137,-13.7333,-71.9833,3110,S. chmielewskii,Dan
V,7,H,3,LA1363,L,28,5/5/08,33.35,9.42,12.78,14.15,8.04,20.4,37.94,44.43,5,121,-10.1417,-77.3833,3140,S. habrochaites,Dan
V,7,A,4,LA2560,L,28,5/5/08,44.82,11.78,10.9,15.01,6.43,27.11,32.13,41.56,5,102,-8.66,-78.29,480,S. pennellii,Dan
V,7,B,4,LA446,L,28,5/5/08,37.34,13.04,11.09,12.08,12.37,29.05,47.01,56.75,6,124,-15.7833,-74.3917,2240,S. peruvianum,Dan
V,7,C,4,LA1954,L,28,5/5/08,32.37,7.25,2.16,9.19,,9.13,19.85,28.48,4,107,-17.0167,-72.0833,0,S. peruvianum,Dan
V,7,D,4,LA1969,L,28,5/5/08,29.94,2.39,2.56,14.27,7.82,15.92,28.59,29.42,5,124,-17.5333,-70.0333,3015,S. chilense,Dan
V,7,E,4,LA2891,L,28,5/5/08,40.94,15.59,2.1,13.53,13.08,23.79,33.54,42.63,6,107,-25.4,-70.4,660,S. chilense,Dan
V,7,F,4,LA1316,L,28,5/5/08,54.31,3.8,0.08,6.06,4.35,18.95,26.55,32.13,5,135,-13.3925,-73.915,3100,S. chmielewskii,Dan
V,7,G,4,LA2695,L,28,5/5/08,18.9,2.52,10.64,8.08,4.8,16.25,40.89,50.94,5,128,-14.1525,-71.3886,3480,S. chmielewskii,Dan
V,8,C,1,LA1305,L,28,5/5/08,33.46,7.4,7.88,4.09,,13.92,24.42,28.26,4,120,-13.3833,-75.3583,3360,S. peruvianum,Dan
V,8,D,1,LA1973,L,28,5/5/08,67.92,7.24,12.28,12.2,8.54,14.16,34.99,46.65,5,110,-16.2333,-71.7,2585,S. peruvianum,Dan
V,8,F,1,LA2931,L,28,5/5/08,74.6,13.87,2.93,8.87,12.43,9.35,29.61,26.52,6,106,-20.9167,-69.0667,2460,S. chilense,Dan
V,8,G,1,LA1317,L,28,5/5/08,35.41,10.15,0.07,19.41,11.08,22.73,49.21,49.21,5,132,-13.4167,-73.8417,2000,S. chmielewskii,Dan
V,8,A,2,LA1367,L,28,5/5/08,48.47,16.85,13.07,14.43,,27.52,31.01,47.66,4,111,-11.9008,-76.6633,1020,S. pennellii,Dan
V,8,B,2,LA3788,L,28,5/5/08,34.6,12.04,9.06,6.04,,22.38,33.33,35.3,4,112,-16.1383,-73.6428,480,S. pennellii,Dan
V,8,C,2,LA1336,L,28,5/5/08,43.9,10.28,6.94,12.27,11.62,22.06,33.43,55.63,5,107,-16.2094,-73.6222,75,S. peruvianum,Dan
V,8,D,2,LA3795,L,28,5/5/08,29.73,5.33,8.75,8.21,,15.01,40.42,44.39,4,123,-10.15,-77.35,3540,S. peruvianum,Dan
V,8,E,2,LA2773,L,28,5/5/08,32.53,4.06,0.36,11.74,14.94,18.23,34.64,40.8,6,115,-18.2667,-69.5833,3260,S. chilense,Dan
V,8,F,2,LA1028,L,28,5/5/08,34.29,0.07,5.43,6.63,6.95,27.07,48.53,57.95,5,131,-13.925,-73.025,2880,S. chmielewskii,Dan
V,8,H,2,LA1361,L,28,5/5/08,31.15,3.59,5.43,11.34,6.7,17.13,28.21,40.26,5,111,-9.55,-77.8917,1340,S. habrochaites,Dan
V,8,A,3,LA1912,L,28,5/5/08,26.31,5.22,4.52,8.12,2.53,24,39.21,45.37,5,106,-14.4492,-75.2203,620,S. pennellii,Dan
V,8,B,3,LA3791,L,28,5/5/08,15.67,8.16,7.26,11.95,4.09,16.79,26.51,23.57,5,110,-15.7878,-73.3939,1935,S. pennellii,Dan
V,8,C,3,LA1474,L,28,5/5/08,51.49,14.43,11.42,11.48,16.52,29.5,58.63,76.05,6,113,-16.6072,-72.6964,27,S. peruvianum,Dan
V,8,D,3,LA1958,L,28,5/5/08,42.26,7.74,0.08,2.32,21.14,17.66,36.7,32.83,6,100,-17.25,-71.25,1336,S. chilense,Dan
V,8,E,3,LA2884,L,28,5/5/08,36.4,3.38,0.65,7.06,10.17,13.5,41.58,43.59,6,108,-23.6833,-68.0667,2390,S. chilense,Dan
V,8,F,3,LA1306,L,28,5/5/08,28.87,5.07,8.98,10.97,9.5,25.12,44.4,56.07,5,130,-12.95,-74.0167,3340,S. chmielewskii,Dan
V,8,G,3,LA2663,L,28,5/5/08,28.72,2.39,10.22,6.66,,15.9,28.02,28.02,4,137,-13.7333,-71.9833,3110,S. chmielewskii,Dan
V,8,H,3,LA1363,L,28,5/5/08,28.16,11.96,9.91,17.34,8.91,24.91,41.02,42.22,5,121,-10.1417,-77.3833,3140,S. habrochaites,Dan
V,8,A,4,LA2560,L,28,5/5/08,35.83,3.76,3.94,3.32,,20.53,47.53,40.8,4,102,-8.66,-78.29,480,S. pennellii,Dan
V,8,C,4,LA1954,L,28,5/5/08,39.66,11.88,4.59,11.55,13.27,22.72,38.62,53.76,6,107,-17.0167,-72.0833,0,S. peruvianum,Dan
V,8,D,4,LA1969,L,28,5/5/08,20.13,3.66,2.89,13.26,7.3,14.59,48.22,42.27,5,124,-17.5333,-70.0333,3015,S. chilense,Dan
V,8,E,4,LA2891,L,28,5/5/08,49.31,18.97,0.04,23.12,7.77,10.41,22.82,20.96,5,107,-25.4,-70.4,660,S. chilense,Dan
V,8,F,4,LA1316,L,28,5/5/08,39.51,3.5,6.28,8.79,7.44,27.12,58.93,62.54,6,135,-13.3925,-73.915,3100,S. chmielewskii,Dan
V,8,G,4,LA2695,L,28,5/5/08,32.29,1.48,5.95,3.62,,12.86,26.77,29.84,4,128,-14.1525,-71.3886,3480,S. chmielewskii,Dan
V,8,H,4,LA1691,L,28,5/5/08,27.43,6,2.98,5.5,3.48,29.5,38.05,51.81,5,127,-12.45,-75.925,3540,S. habrochaites,Dan
V,8,I,4,LA2204,L,28,5/5/08,32.34,6.86,5.75,8.1,9.58,25.22,43.28,49.37,6,128,-5.7667,-77.8667,2160,S. habrochaites,Dan
V,9,B,1,LA2580,L,28,5/5/08,29.94,13.15,10.51,10.52,4.35,26.74,32.71,33.38,5,111,-9.5167,-78.0083,740,S. pennellii,Dan
V,9,C,1,LA1305,L,28,5/5/08,31.25,6.46,6.97,15.92,9.68,18.62,41.46,42.96,5,120,-13.3833,-75.3583,3360,S. peruvianum,Dan
V,9,D,1,LA1973,L,28,5/5/08,69.21,14.84,0,22.17,9.79,21.94,42.39,51.56,5,110,-16.2333,-71.7,2585,S. peruvianum,Dan
V,9,E,1,LA2748,L,28,5/5/08,37.93,11.78,0.07,19.06,17.09,19.69,47.24,45.85,5,105,-20.4833,-69.9833,1020,S. chilense,Dan
V,9,F,1,LA2931,L,28,5/5/08,43.61,3.68,0,3.7,,6.71,19.57,23.05,4,106,-20.9167,-69.0667,2460,S. chilense,Dan
V,9,G,1,LA1317,L,28,5/5/08,40.19,7.09,0.89,18.38,17.68,26.15,59.5,68.63,6,132,-13.4167,-73.8417,2000,S. chmielewskii,Dan
V,9,H,1,LA361,L,28,5/5/08,44.51,8.15,11.57,8.97,9.65,29.62,35.7,45.08,5,111,-11.5667,-76.73,1840,S. habrochaites,Dan
V,9,I,1,LA1918,L,28,5/5/08,47.26,5.71,0.02,9.36,6.84,25.51,39.06,45.29,5,118,-14.2667,-74.9167,2920,S. habrochaites,Dan
V,9,A,2,LA1367,L,28,5/5/08,37.27,6.86,19.16,21.78,11.73,27.59,40.01,50.04,5,111,-11.9008,-76.6633,1020,S. pennellii,Dan
V,9,C,2,LA1336,L,28,5/5/08,61.28,13.32,6.58,6.7,4.29,14.22,28.04,25.1,5,107,-16.2094,-73.6222,75,S. peruvianum,Dan
V,9,D,2,LA3795,L,28,5/5/08,33.58,4.65,6.3,7.53,4.37,16.03,30.46,31.14,5,123,-10.15,-77.35,3540,S. peruvianum,Dan
V,9,E,2,LA2773,L,28,5/5/08,47.63,6.74,1.18,11.48,15.37,20.66,40.31,38.79,6,115,-18.2667,-69.5833,3260,S. chilense,Dan
V,9,G,2,LA1318,L,28,5/5/08,41.11,4.16,11.6,7.88,,22.38,50.95,56.09,4,136,-13.6833,-72.9583,2300,S. chmielewskii,Dan
V,9,H,2,LA1361,L,28,5/5/08,31.63,7.24,7.85,14.55,13.08,15.55,44.87,39.28,5,111,-9.55,-77.8917,1340,S. habrochaites,Dan
V,9,A,3,LA1912,L,28,5/5/08,19.88,7.67,7.35,15.86,6.56,23.84,38.29,41.77,5,106,-14.4492,-75.2203,620,S. pennellii,Dan
V,9,B,3,LA3791,L,28,5/5/08,62.74,8.58,4.25,4.54,,22.24,31.9,36.28,4,110,-15.7878,-73.3939,1935,S. pennellii,Dan
V,9,C,3,LA1474,L,28,5/5/08,55.16,10.39,0.03,4.71,,9.08,15.07,16.23,4,113,-16.6072,-72.6964,27,S. peruvianum,Dan
V,9,D,3,LA1958,L,28,5/5/08,41.54,5.02,6.59,14.98,13.05,22,46.74,53.52,6,100,-17.25,-71.25,1336,S. chilense,Dan
V,9,E,3,LA2884,L,28,5/5/08,42.59,5.45,1.78,0.14,6.48,11.23,43.93,47.54,7,108,-23.6833,-68.0667,2390,S. chilense,Dan
V,9,F,3,LA1306,L,28,5/5/08,34.72,2.93,6.19,10.17,7.94,22.23,50.54,50.09,5,130,-12.95,-74.0167,3340,S. chmielewskii,Dan
V,9,G,3,LA2663,L,28,5/5/08,35.77,4.81,10.73,11.58,7.64,19.74,46.41,57.89,5,137,-13.7333,-71.9833,3110,S. chmielewskii,Dan
V,9,H,3,LA1363,L,28,5/5/08,29.85,12.18,12.28,10.56,2.87,23.44,40.05,43.3,5,121,-10.1417,-77.3833,3140,S. habrochaites,Dan
V,9,I,3,LA2167,L,28,5/5/08,35.23,3.59,0.51,2.79,0.94,11.49,16.84,15.3,5,124,-7.18,-78.52,1340,S. habrochaites,Dan
V,9,A,4,LA2560,L,28,5/5/08,33.16,11.48,16.72,20.53,8.37,14.05,44.21,45.42,5,102,-8.66,-78.29,480,S. pennellii,Dan
V,9,B,4,LA446,L,28,5/5/08,31.53,4.23,6.86,12.14,8.47,23.71,36.97,45.46,5,124,-15.7833,-74.3917,2240,S. peruvianum,Dan
V,9,C,4,LA1954,L,28,5/5/08,43.14,10.38,10.44,15.22,5.93,22.52,38.65,45.8,5,107,-17.0167,-72.0833,0,S. peruvianum,Dan
V,9,D,4,LA1969,L,28,5/5/08,22.66,0.19,0.19,5.38,0.85,8.15,20.55,19.2,5,124,-17.5333,-70.0333,3015,S. chilense,Dan
V,9,F,4,LA1316,L,28,5/5/08,54.06,1.7,1.28,3.5,3.76,9.88,29.56,26.47,5,135,-13.3925,-73.915,3100,S. chmielewskii,Dan
V,9,G,4,LA2695,L,28,5/5/08,44.6,1.77,1.08,5.41,2.24,15.84,29.5,41.08,5,128,-14.1525,-71.3886,3480,S. chmielewskii,Dan
V,9,H,4,LA1691,L,28,5/5/08,30.42,4.85,3.22,5.72,3.8,20.03,57.03,57.03,5,127,-12.45,-75.925,3540,S. habrochaites,Dan
V,9,I,4,LA2204,L,28,5/5/08,33.58,3.33,4.64,3.02,,13.23,17.89,25.45,4,128,-5.7667,-77.8667,2160,S. habrochaites,Dan
V,10,C,1,LA1305,L,29,5/6/08,15.85,5.72,3.18,9.57,7.89,17.08,46.5,44.08,5,120,-13.3833,-75.3583,3360,S. peruvianum,Dan
V,10,D,1,LA1973,L,29,5/6/08,63.1,25.05,6.59,17.15,11.06,19.83,38.26,48.22,5,110,-16.2333,-71.7,2585,S. peruvianum,Dan
V,10,F,1,LA2931,L,29,5/6/08,36.64,8.11,5.49,16.13,15.51,15.19,43.08,41.62,6,106,-20.9167,-69.0667,2460,S. chilense,Dan
V,10,G,1,LA1317,L,29,5/6/08,35.68,5.67,13.58,26.44,15.34,31.23,56.03,66.91,5,132,-13.4167,-73.8417,2000,S. chmielewskii,Dan
V,10,H,1,LA361,L,29,5/6/08,28.43,12.34,20.03,13.53,11.96,20.44,69.07,65.26,6,111,-11.5667,-76.73,1840,S. habrochaites,Dan
V,10,A,2,LA1367,L,29,5/6/08,34.73,16.51,5.15,9.12,2.94,30.22,30.62,34.15,5,111,-11.9008,-76.6633,1020,S. pennellii,Dan
V,10,B,2,LA3788,L,29,5/6/08,26.24,15.37,5.88,9.45,2.51,38.18,35.44,41.98,5,112,-16.1383,-73.6428,480,S. pennellii,Dan
V,10,C,2,LA1336,L,29,5/6/08,51.77,9.65,13.93,17.23,15.04,25.95,40.3,51.83,7,107,-16.2094,-73.6222,75,S. peruvianum,Dan
V,10,D,2,LA3795,L,29,5/6/08,53.92,16.46,9.4,12.33,8.04,15.45,37.47,38.76,5,123,-10.15,-77.35,3540,S. peruvianum,Dan
V,10,E,2,LA2773,L,29,5/6/08,46.87,6.67,0.43,10.91,11.12,18.02,34.57,40.75,6,115,-18.2667,-69.5833,3260,S. chilense,Dan
V,10,F,2,LA1028,L,29,5/6/08,35.76,0.25,3.12,7.84,9.21,18.03,61.6,57.9,6,131,-13.925,-73.025,2880,S. chmielewskii,Dan
V,10,G,2,LA1318,L,29,5/6/08,31.63,11.05,15,10.99,4.42,28.57,40.55,44.7,5,136,-13.6833,-72.9583,2300,S. chmielewskii,Dan
V,10,H,2,LA1361,L,29,5/6/08,33.82,13.81,11.36,17.5,10.68,18.06,57.21,51.52,6,111,-9.55,-77.8917,1340,S. habrochaites,Dan
V,10,I,2,LA1928,L,29,5/6/08,24.84,13.17,0.05,19.06,4.64,25.32,65.51,65.01,8,118,-14.3833,-74.8167,2940,S. habrochaites,Dan
V,10,A,3,LA1912,L,29,5/6/08,34.47,5.62,9.39,11.17,6.05,29.25,37.31,55.74,5,106,-14.4492,-75.2203,620,S. pennellii,Dan
V,10,B,3,LA3791,L,29,5/6/08,20.78,4.25,3.53,6.04,3.65,18.64,32.48,40.32,5,110,-15.7878,-73.3939,1935,S. pennellii,Dan
V,10,C,3,LA1474,L,29,5/6/08,64.42,4.55,2.95,2.71,1.08,16.8,21.45,19.92,5,113,-16.6072,-72.6964,27,S. peruvianum,Dan
V,10,D,3,LA1958,L,29,5/6/08,57.47,8.08,3.03,5.32,9.01,16.4,57.11,51.21,6,100,-17.25,-71.25,1336,S. chilense,Dan
V,10,E,3,LA2884,L,29,5/6/08,42.8,4.18,3.77,6.67,7.32,14.29,43.64,50.48,5,108,-23.6833,-68.0667,2390,S. chilense,Dan
V,10,F,3,LA1306,L,29,5/6/08,30.85,4.71,0.41,19.82,17.1,39.04,38.17,59.61,6,130,-12.95,-74.0167,3340,S. chmielewskii,Dan
V,10,G,3,LA2663,L,29,5/6/08,34.57,2.49,9.43,12.74,10.34,19.53,50.22,55.39,5,137,-13.7333,-71.9833,3110,S. chmielewskii,Dan
V,10,H,3,LA1363,L,29,5/6/08,35.9,12.92,15.74,16.9,7.95,10.61,57.76,57.01,5,121,-10.1417,-77.3833,3140,S. habrochaites,Dan
V,10,I,3,LA2167,L,29,5/6/08,35.87,4.85,7.19,11.79,9.96,21.7,56.06,48.01,7,124,-7.18,-78.52,1340,S. habrochaites,Dan
V,10,A,4,LA716,L,29,5/6/08,24.23,0.39,2.91,4.7,6.84,23.69,23.91,27,5,106,-16.2083,-73.6333,320,S. pennellii,Dan
V,10,B,4,LA446,L,29,5/6/08,37.61,8.28,4.82,3.39,1.83,12.08,24.54,25.94,5,124,-15.7833,-74.3917,2240,S. peruvianum,Dan
V,10,C,4,LA1954,L,29,5/6/08,34.45,1.48,0,0.8,,9.16,12.11,10.48,4,107,-17.0167,-72.0833,0,S. peruvianum,Dan
V,10,D,4,LA1969,L,29,5/6/08,34.6,1.7,0.16,10.33,2.96,10.84,27.46,27.44,5,124,-17.5333,-70.0333,3015,S. chilense,Dan
V,10,F,4,LA1316,L,29,5/6/08,45.86,2.83,6.72,13.47,8.54,25.24,59.46,57.63,5,135,-13.3925,-73.915,3100,S. chmielewskii,Dan
V,10,G,4,LA2695,L,29,5/6/08,38.4,4.37,8.41,14.51,9.96,31.65,42.99,61.51,5,128,-14.1525,-71.3886,3480,S. chmielewskii,Dan
V,10,H,4,LA1691,L,29,5/6/08,43.95,6.42,0.32,9.6,4.84,20.58,59.72,56.26,5,127,-12.45,-75.925,3540,S. habrochaites,Dan
V,10,I,4,LA2204,L,29,5/6/08,31.6,6.24,11.42,16.17,10.35,21.17,55.91,61.15,6,128,-5.7667,-77.8667,2160,S. habrochaites,Dan
Z,11,B,1,LA2580,H,28,5/5/08,26.58,1.17,0.28,0.69,,8.55,19.55,20.4,4,111,-9.5167,-78.0083,740,S. pennellii,Dan
Z,11,C,1,LA1305,H,28,5/5/08,36.36,2.14,2.95,7.5,4.12,9.82,28.22,27.93,5,120,-13.3833,-75.3583,3360,S. peruvianum,Dan
Z,11,D,1,LA1973,H,28,5/5/08,45.24,8.83,6.75,6.62,4.06,21.1,42.79,62.23,5,110,-16.2333,-71.7,2585,S. peruvianum,Dan
Z,11,F,1,LA2931,H,28,5/5/08,44.75,2.66,0.28,3.56,1.49,10.1,33.34,41.08,5,106,-20.9167,-69.0667,2460,S. chilense,Dan
Z,11,G,1,LA1317,H,28,5/5/08,42.58,3.21,2.62,5.8,4.15,23.16,37.67,44.31,5,132,-13.4167,-73.8417,2000,S. chmielewskii,Dan
Z,11,H,1,LA361,H,28,5/5/08,35.68,6.67,6.69,3.58,4.49,12.93,44.47,42.58,5,111,-11.5667,-76.73,1840,S. habrochaites,Dan
Z,11,I,1,LA1918,H,28,5/5/08,37.66,4.67,0.17,6.28,3.08,15.31,31.75,32.47,5,118,-14.2667,-74.9167,2920,S. habrochaites,Dan
Z,11,A,2,LA1367,H,28,5/5/08,33.47,3.48,1.92,3.76,,12.94,26.13,20.37,4,111,-11.9008,-76.6633,1020,S. pennellii,Dan
Z,11,C,2,LA1336,H,28,5/5/08,39.22,3.52,0.01,0.01,,4.7,18.79,13.99,3,107,-16.2094,-73.6222,75,S. peruvianum,Dan
Z,11,D,2,LA3795,H,28,5/5/08,35.46,2.22,1.36,1.52,,11.41,26.82,28.46,4,123,-10.15,-77.35,3540,S. peruvianum,Dan
Z,11,E,2,LA2773,H,28,5/5/08,38.87,0.62,0.27,0.65,7.91,7.65,23.97,19.02,5,115,-18.2667,-69.5833,3260,S. chilense,Dan
Z,11,F,2,LA1028,H,28,5/5/08,34.7,0.01,0.64,5.8,3.27,13.43,42.67,42.72,6,131,-13.925,-73.025,2880,S. chmielewskii,Dan
Z,11,G,2,LA1318,H,28,5/5/08,28.26,3.37,4.69,3.32,,10.06,26.42,26.41,4,136,-13.6833,-72.9583,2300,S. chmielewskii,Dan
Z,11,H,2,LA1361,H,28,5/5/08,39.67,1.58,2.66,6.7,4.4,18.38,30.97,40.23,5,111,-9.55,-77.8917,1340,S. habrochaites,Dan
Z,11,A,3,LA1912,H,28,5/5/08,19.58,0.22,1.2,2.37,,12.67,29.88,28.37,4,106,-14.4492,-75.2203,620,S. pennellii,Dan
Z,11,B,3,LA3791,H,28,5/5/08,40.93,1.36,0.35,1.22,,7.92,22.77,17,4,110,-15.7878,-73.3939,1935,S. pennellii,Dan
Z,11,C,3,LA1474,H,28,5/5/08,42.39,2.08,2.64,4,1.76,16.83,31.81,42.08,5,113,-16.6072,-72.6964,27,S. peruvianum,Dan
