shelf,flat,col,row,acs,trt,days,date,hyp,int1,int2,int3,int4,petleng,leafleng,leafwid,leafnum,ndvi,lat,lon,alt,species,who
Z,2,E,1,LA2748,H,28,5/5/08,24.67,1.74,0.01,3.59,5.09,11.11,46.26,50.31,6,105,-20.4833,-69.9833,1020,S. chilense,Dan
Z,2,F,1,LA2931,H,28,5/5/08,31.65,0.54,0.41,1.81,2.61,16.13,39.55,54.97,6,106,-20.9167,-69.0667,2460,S. chilense,Dan
Z,2,G,1,LA1317,H,28,5/5/08,35.64,3.03,5.88,10.7,6.72,22.06,40.28,46.5,5,132,-13.4167,-73.8417,2000,S. chmielewskii,Dan
Z,2,H,1,LA361,H,28,5/5/08,27.14,6.06,4.81,8.29,4.89,13.82,53.72,49.39,6,111,-11.5667,-76.73,1840,S. habrochaites,Dan
Z,2,I,1,LA1918,H,28,5/5/08,31.95,3.82,0.06,4.04,2.45,14.97,29.32,31.15,5,118,-14.2667,-74.9167,2920,S. habrochaites,Dan
Z,2,A,2,LA1367,H,28,5/5/08,15.62,0.09,2.13,2.72,,15.22,33.91,35.34,4,111,-11.9008,-76.6633,1020,S. pennellii,Dan
Z,2,B,2,LA3788,H,28,5/5/08,12.55,1.74,1.18,1.13,,16.59,23.86,24.57,4,112,-16.1383,-73.6428,480,S. pennellii,Dan
Z,2,C,2,LA1336,H,28,5/5/08,31.66,3.91,3.3,3.25,,10.37,31.26,32.63,4,107,-16.2094,-73.6222,75,S. peruvianum,Dan
Z,2,D,2,LA3795,H,28,5/5/08,44.43,3.24,0.26,4.59,1.54,16.01,37.38,33.83,5,123,-10.15,-77.35,3540,S. peruvianum,Dan
Z,2,E,2,LA2773,H,28,5/5/08,32.16,0.24,0.04,3,1.69,14.37,32.1,36.12,5,115,-18.2667,-69.5833,3260,S. chilense,Dan
Z,2,F,2,LA1028,H,28,5/5/08,33.44,0.71,2.52,3.84,3.01,13.61,44.49,38.25,6,131,-13.925,-73.025,2880,S. chmielewskii,Dan
Z,2,G,2,LA1318,H,28,5/5/08,33.27,2.16,3.7,2.54,,9.08,16.41,21.45,4,136,-13.6833,-72.9583,2300,S. chmielewskii,Dan
Z,2,H,2,LA1361,H,28,5/5/08,36.68,4.86,5.62,2.92,,11.56,24.61,24.52,4,111,-9.55,-77.8917,1340,S. habrochaites,Dan
Z,2,I,2,LA1928,H,28,5/5/08,35.11,2.4,1.49,4.09,2.76,15.74,28.35,29.81,5,118,-14.3833,-74.8167,2940,S. habrochaites,Dan
Z,2,A,3,LA1912,H,28,5/5/08,27.38,2.22,0.98,2.6,1.39,17.88,35.19,33.43,5,106,-14.4492,-75.2203,620,S. pennellii,Dan
Z,2,B,3,LA3791,H,28,5/5/08,28.79,0.01,0.01,0.5,1.02,12.29,26.96,31.04,5,110,-15.7878,-73.3939,1935,S. pennellii,Dan
Z,2,C,3,LA1474,H,28,5/5/08,33.6,0.06,0.22,0.1,,7.69,15.35,21.72,4,113,-16.6072,-72.6964,27,S. peruvianum,Dan
Z,2,D,3,LA1958,H,28,5/5/08,49,3.01,0.14,2.64,3.09,21.08,53.89,54.41,6,100,-17.25,-71.25,1336,S. chilense,Dan
Z,2,E,3,LA2884,H,28,5/5/08,40.07,2.59,0.33,3.46,4.17,9.05,44.38,51.45,6,108,-23.6833,-68.0667,2390,S. chilense,Dan
Z,2,F,3,LA1306,H,28,5/5/08,28.58,0.22,3.02,3.54,2.86,13.37,35.4,32.1,5,130,-12.95,-74.0167,3340,S. chmielewskii,Dan
Z,2,G,3,LA2663,H,28,5/5/08,20.79,1.61,5.95,4.3,2.9,15.95,39.03,35.79,5,137,-13.7333,-71.9833,3110,S. chmielewskii,Dan
Z,2,H,3,LA1363,H,28,5/5/08,33.89,4.6,5.63,3.57,7.28,22.22,53.14,55.65,6,121,-10.1417,-77.3833,3140,S. habrochaites,Dan
Z,2,I,3,LA2167,H,28,5/5/08,34.04,1.23,1.57,4.75,3.09,18.95,32.25,37.79,5,124,-7.18,-78.52,1340,S. habrochaites,Dan
Z,2,B,4,LA446,H,28,5/5/08,42.59,3.34,1.86,4.5,3.84,19.47,36.79,41.85,5,124,-15.7833,-74.3917,2240,S. peruvianum,Dan
Z,2,C,4,LA1954,H,28,5/5/08,45.15,6.8,6.13,6.17,4.32,23.22,33.32,45.43,6,107,-17.0167,-72.0833,0,S. peruvianum,Dan
Z,2,D,4,LA1969,H,28,5/5/08,24.82,0.62,0.04,1.84,0.84,13.3,44.11,47.4,6,124,-17.5333,-70.0333,3015,S. chilense,Dan
Z,2,E,4,LA2891,H,28,5/5/08,27.46,2.7,1.05,4.04,,9.88,28.51,27.75,4,107,-25.4,-70.4,660,S. chilense,Dan
Z,2,F,4,LA1316,H,28,5/5/08,50.15,4.63,3.24,4.57,4.09,25.56,49.71,56.87,5,135,-13.3925,-73.915,3100,S. chmielewskii,Dan
Z,2,G,4,LA2695,H,28,5/5/08,33.47,1.62,2.99,3.03,,15.02,27.45,31.65,4,128,-14.1525,-71.3886,3480,S. chmielewskii,Dan
Z,2,H,4,LA1691,H,28,5/5/08,27.01,3.33,1.5,5.29,1.33,21.12,32.04,34.81,5,127,-12.45,-75.925,3540,S. habrochaites,Dan
Z,2,I,4,LA2204,H,28,5/5/08,21.76,3.95,0.17,5.45,4.31,24.59,41.17,49.33,5,128,-5.7667,-77.8667,2160,S. habrochaites,Dan
Z,3,B,1,LA2580,H,28,5/5/08,18.5,0.47,0.48,1.44,0.32,24.56,32.9,44.58,5,111,-9.5167,-78.0083,740,S. pennellii,Dan
Z,3,C,1,LA1305,H,28,5/5/08,43.24,0.36,0.51,3.62,3.13,13.49,27.79,28.63,5,120,-13.3833,-75.3583,3360,S. peruvianum,Dan
Z,3,D,1,LA1973,H,28,5/5/08,42.55,13.97,4.43,10.78,5.87,25.31,41.15,63.15,6,110,-16.2333,-71.7,2585,S. peruvianum,Dan
Z,3,E,1,LA2748,H,28,5/5/08,23.74,0.4,0.36,0.96,1.15,6.42,20.67,25.13,5,105,-20.4833,-69.9833,1020,S. chilense,Dan
Z,3,F,1,LA2931,H,28,5/5/08,53.84,0.43,0,1.22,1.14,13.64,34.04,38.28,5,106,-20.9167,-69.0667,2460,S. chilense,Dan
Z,3,G,1,LA1317,H,28,5/5/08,31.87,4.69,6.89,11.63,6.24,30.75,43.3,57.62,5,132,-13.4167,-73.8417,2000,S. chmielewskii,Dan
Z,3,H,1,LA361,H,28,5/5/08,29.88,2.84,3.2,0.9,,11.98,20.15,23.3,4,111,-11.5667,-76.73,1840,S. habrochaites,Dan
Z,3,I,1,LA1918,H,28,5/5/08,40.95,4.93,0.03,5.2,4.35,18.61,33.93,47.7,5,118,-14.2667,-74.9167,2920,S. habrochaites,Dan
Z,3,A,2,LA1367,H,28,5/5/08,27.69,1.79,2.8,6.29,3.99,23.65,31.47,41.66,5,111,-11.9008,-76.6633,1020,S. pennellii,Dan
Z,3,B,2,LA3788,H,28,5/5/08,21.45,0.51,0.49,0.7,0.71,17.66,25.41,27.23,4,112,-16.1383,-73.6428,480,S. pennellii,Dan
Z,3,C,2,LA1336,H,28,5/5/08,57.41,9.44,3.96,7.59,6.67,20.6,36.51,41.86,7,107,-16.2094,-73.6222,75,S. peruvianum,Dan
