acs,species,trt,hyp,int1,int2,int3,int4
LA1691,S. habrochaites,H,27.01,3.33,1.5,5.29,1.33
LA2204,S. habrochaites,H,21.76,3.95,0.17,5.45,4.31
LA2580,S. pennellii,H,18.5,0.47,0.48,1.44,0.32
LA1305,S. peruvianum,H,43.24,0.36,0.51,3.62,3.13
LA1973,S. peruvianum,H,42.55,13.97,4.43,10.78,5.87
LA2748,S. chilense,H,23.74,0.4,0.36,0.96,1.15
LA2931,S. chilense,H,53.84,0.43,0,1.22,1.14
LA1317,S. chmielewskii,H,31.87,4.69,6.89,11.63,6.24
LA361,S. habrochaites,H,29.88,2.84,3.2,0.9,NA
LA1918,S. habrochaites,H,40.95,4.93,0.03,5.2,4.35
LA1367,S. pennellii,H,27.69,1.79,2.8,6.29,3.99
LA3788,S. pennellii,H,21.45,0.51,0.49,0.7,0.71
LA1336,S. peruvianum,H,57.41,9.44,3.96,7.59,6.67
LA3795,S. peruvianum,H,26.44,5.85,3,3.66,NA
LA2773,S. chilense,H,34.32,0.48,0.07,1.03,1.9
LA1028,S. chmielewskii,H,42.31,0.04,0.05,5.03,4.55
LA1318,S. chmielewskii,H,33.14,5.12,5.63,6.4,2.65
LA1361,S. habrochaites,H,39.85,0.94,3.45,4.43,2.82
LA3791,S. pennellii,H,40.66,0.29,0.92,2.18,0.63
LA1958,S. chilense,H,40.8,1.61,0.04,3.06,0.84
LA2884,S. chilense,H,22.85,0.97,2.16,4.15,4.14
LA1306,S. chmielewskii,H,32.88,2.04,3.54,4.77,3.12
LA2663,S. chmielewskii,H,21.18,0.94,3.86,4.51,1.73
LA1363,S. habrochaites,H,27.69,9.3,5.28,14.04,7.18
LA2560,S. pennellii,H,19.81,2.08,3.28,2.24,NA
LA446,S. peruvianum,H,35.69,6.85,2.51,2.46,4.86
LA1954,S. peruvianum,H,36.33,4.54,0.88,7.08,3.74
LA1969,S. chilense,H,13.86,0,0,0.29,0.18
LA2891,S. chilense,H,35.6,1.07,0.08,0.6,1.03
LA1316,S. chmielewskii,H,38.32,1.77,1.14,4.9,4.47
LA2695,S. chmielewskii,H,28.85,3.95,4.77,1.57,NA
LA1691,S. habrochaites,H,22.5,5.54,2.15,4.67,3.15
LA2204,S. habrochaites,H,20.75,3.6,5.35,6.27,5.32
LA2580,S. pennellii,L,38.11,7,9.66,5.89,3.7
LA1305,S. peruvianum,L,17.8,6.3,3.61,23.46,13.02
LA1973,S. peruvianum,L,40.96,13.08,13.55,27.76,13.18
LA2748,S. chilense,L,27.8,9.33,4.63,20.8,12.6
LA2931,S. chilense,L,72.67,12.91,2.68,16.87,11.95
LA1317,S. chmielewskii,L,28.98,3.9,9.01,7.88,4.28
LA1367,S. pennellii,L,41.24,11.67,7.99,4.74,NA
LA3788,S. pennellii,L,58.3,13.42,5.29,3.27,NA
LA1336,S. peruvianum,L,53.56,12.02,4.09,9.2,NA
LA3795,S. peruvianum,L,44.13,8.07,5.86,7.37,NA
LA2773,S. chilense,L,41.48,15.4,4.22,15.68,21.47
LA1028,S. chmielewskii,L,32.5,0.05,6.17,8.61,9.04
LA1318,S. chmielewskii,L,21.34,10.31,17.32,20.54,8.78
LA1912,S. pennellii,L,41.62,12.06,6.65,8.56,2.92
LA3791,S. pennellii,L,44.48,6.12,6.57,3.94,NA
LA1474,S. peruvianum,L,39.68,1.96,3.67,0.8,NA
LA1958,S. chilense,L,35.79,9.1,4.26,16.03,8.82
LA2884,S. chilense,L,34.39,6.42,0.54,5.42,0.03
LA1306,S. chmielewskii,L,35.88,0.06,7.75,8.93,9.06
LA2663,S. chmielewskii,L,25.96,2.28,10.31,6.93,5.92
LA2560,S. pennellii,L,27.44,8.51,9.63,9.14,2.19
LA446,S. peruvianum,L,41.42,10.97,0.03,15,6.72
LA1954,S. peruvianum,L,50.34,12.9,5.83,11.26,8.6
LA1969,S. chilense,L,22.82,0.06,0.06,0.79,NA
LA2891,S. chilense,L,40.98,5.53,1.22,8.75,1.73
LA1316,S. chmielewskii,L,33.2,2.17,5.48,6.19,1.88
LA2695,S. chmielewskii,L,22.16,4,9.4,10.68,7.38
LA1691,S. habrochaites,L,23.13,4.65,0.15,4.2,1.09
LA2204,S. habrochaites,L,31.07,7.57,10.17,10.18,8.42
LA2580,S. pennellii,L,47.62,12.37,8.32,12.91,4.63
LA1305,S. peruvianum,L,18.01,4.32,3.04,10.45,6.26
LA1973,S. peruvianum,L,26.15,8.15,10.98,11.64,7.5
LA2931,S. chilense,L,44.12,10.71,0.28,15.57,18.06
LA1317,S. chmielewskii,L,31.4,5.16,11.96,17.66,15.61
LA361,S. habrochaites,L,34.89,10.83,12.74,14.9,7.45
LA1918,S. habrochaites,L,31.15,7.74,4.96,11.05,6.52
LA1367,S. pennellii,L,31.23,4.18,4.87,2.92,NA
LA1336,S. peruvianum,L,34.56,7,9.68,5.32,2.54
LA3795,S. peruvianum,L,37.23,3.55,9.08,3.71,1.91
LA2773,S. chilense,L,58.16,13.65,0.57,21.51,17.19
LA1028,S. chmielewskii,L,21.71,0.06,4.35,6.84,7.59
LA1318,S. chmielewskii,L,24.31,7.05,12.28,12.28,4.82
LA1361,S. habrochaites,L,39.05,8.16,4.72,16.83,19.55
LA1928,S. habrochaites,L,19.76,4.39,0.03,4.89,2.22
LA1912,S. pennellii,L,28.66,4.15,1.8,7.82,NA
LA1474,S. peruvianum,L,63.98,11.21,8.16,10.7,10.37
LA2884,S. chilense,L,26.78,4.98,0.01,8.09,4.82
LA1306,S. chmielewskii,L,32.73,4.03,0.02,10.97,10.01
LA2663,S. chmielewskii,L,26.99,0.72,7.71,7.09,NA
LA1363,S. habrochaites,L,28.09,9.48,9.88,8.04,4.52
LA2560,S. pennellii,L,39.27,8.05,9.36,11.94,4.71
LA446,S. peruvianum,L,27.58,4.96,1.71,13.43,8.9
LA1954,S. peruvianum,L,47.16,14.76,0.08,11.05,5.73
LA1969,S. chilense,L,42.72,3.84,1.18,14.34,8.75
LA2891,S. chilense,L,37.78,4.29,0.08,5.3,2.74
LA1316,S. chmielewskii,L,38.42,4.63,2.51,11.62,8.98
LA2695,S. chmielewskii,L,31.72,4.26,6.86,5.83,4.12
LA2580,S. pennellii,H,28.33,1.72,0.53,1.23,1.36
LA1305,S. peruvianum,H,24.88,2.39,1.01,3.1,1.24
LA1973,S. peruvianum,H,43.36,3.71,2.91,8.05,5.69
LA2748,S. chilense,H,32.55,0.49,0.31,1.48,1.12
LA2931,S. chilense,H,44.99,0.93,0.64,1.76,0.76
LA1317,S. chmielewskii,H,35.39,2.63,4.36,9.48,9.02
LA361,S. habrochaites,H,32.29,4.11,6.93,7.93,10.55
LA1918,S. habrochaites,H,38.8,3.22,0.53,7.38,5.42
LA1367,S. pennellii,H,22.04,1.61,1.64,0.63,NA
LA3788,S. pennellii,H,28.02,0.76,0.19,1.06,NA
LA1336,S. peruvianum,H,51.69,7.41,5.59,4.48,3.78
LA3795,S. peruvianum,H,14.85,2.92,2.61,1.04,NA
LA2773,S. chilense,H,26.6,1.34,0.64,2.26,3.2
LA1028,S. chmielewskii,H,30.04,5.69,3.67,8.57,7.04
LA1318,S. chmielewskii,H,27.4,1.86,2.85,3.7,1.49
LA1361,S. habrochaites,H,33.71,2.52,3.09,5.65,2.87
LA1928,S. habrochaites,H,26.17,2.51,1.53,8.47,5.33
LA1912,S. pennellii,H,27.01,1.9,1.9,3.2,1.74
LA3791,S. pennellii,H,22.88,0.13,0.52,0.46,0.49
LA1474,S. peruvianum,H,47.47,3.86,0.53,3.14,1.42
LA1958,S. chilense,H,29.38,2.62,0.87,3.43,4.56
LA2884,S. chilense,H,29.94,1.99,1.19,3.05,1.28
LA1306,S. chmielewskii,H,20.54,1.38,2.22,2.72,6.65
LA2663,S. chmielewskii,H,20.25,1.79,5.05,1.44,2.41
LA1363,S. habrochaites,H,36.12,5.9,2.66,12.41,6.16
LA2167,S. habrochaites,H,21.46,1.8,2.14,2.42,2.92
LA2560,S. pennellii,H,26.98,2.89,3.07,2.37,3.98
LA446,S. peruvianum,H,38.31,2.67,4.52,4.19,4.61
LA1954,S. peruvianum,H,39.76,5.96,3.66,6.42,3.87
LA1969,S. chilense,H,12.18,0.5,0.53,0.24,0.25
LA2891,S. chilense,H,27.92,3.05,4,2.84,3.44
LA1316,S. chmielewskii,H,36.06,3.79,2.63,6.26,2.32
LA2695,S. chmielewskii,H,25.16,2.41,4.03,6.98,5.74
LA1691,S. habrochaites,H,20.15,4.09,0.82,2.8,2.31
LA2204,S. habrochaites,H,25.34,4.2,4.92,4.97,3.47
LA2580,S. pennellii,L,38.09,6.66,10.43,11.14,6.85
LA1305,S. peruvianum,L,28.98,6.27,8.42,26.17,7.49
LA1973,S. peruvianum,L,42.84,12.26,17.36,22.2,11.79
LA2748,S. chilense,L,37.78,8.83,0.02,20.27,10.9
LA2931,S. chilense,L,44.79,11.04,0.08,10.69,10.89
LA1317,S. chmielewskii,L,25.63,3.75,6.12,5.47,NA
LA1367,S. pennellii,L,37.88,7.13,9.3,12.61,NA
LA3788,S. pennellii,L,47.31,10.84,8.81,7.63,NA
LA1336,S. peruvianum,L,52.88,13.83,0.08,22.23,16.69
LA3795,S. peruvianum,L,30.16,7.78,4.38,20.98,13.63
LA2773,S. chilense,L,29.84,5.39,2.75,12.11,13.3
LA1028,S. chmielewskii,L,34.84,0.07,4.85,9.4,11.47
LA1318,S. chmielewskii,L,24.18,9.56,18.95,14.19,9.94
LA1912,S. pennellii,L,25.09,11.19,3.88,11.17,NA
LA3791,S. pennellii,L,32.8,1.27,2.8,7.5,NA
LA1474,S. peruvianum,L,53.15,6.9,6.56,8.53,4.15
LA1958,S. chilense,L,48.57,10.47,0.09,13.56,11.54
LA2884,S. chilense,L,51.35,5.65,0.06,12.11,9.99
LA1306,S. chmielewskii,L,31.18,1.09,1.09,11.23,9.97
LA2663,S. chmielewskii,L,23.69,1.21,9.46,7.77,NA
LA1363,S. habrochaites,L,33.35,9.42,12.78,14.15,8.04
LA2560,S. pennellii,L,44.82,11.78,10.9,15.01,6.43
LA446,S. peruvianum,L,37.34,13.04,11.09,12.08,12.37
LA1954,S. peruvianum,L,32.37,7.25,2.16,9.19,NA
LA1969,S. chilense,L,29.94,2.39,2.56,14.27,7.82
LA2891,S. chilense,L,40.94,15.59,2.1,13.53,13.08
LA1316,S. chmielewskii,L,54.31,3.8,0.08,6.06,4.35
LA2695,S. chmielewskii,L,18.9,2.52,10.64,8.08,4.8
LA1305,S. peruvianum,L,33.46,7.4,7.88,4.09,NA
LA1973,S. peruvianum,L,67.92,7.24,12.28,12.2,8.54
LA2931,S. chilense,L,74.6,13.87,2.93,8.87,12.43
LA1317,S. chmielewskii,L,35.41,10.15,0.07,19.41,11.08
LA1367,S. pennellii,L,48.47,16.85,13.07,14.43,NA
LA3788,S. pennellii,L,34.6,12.04,9.06,6.04,NA
LA1336,S. peruvianum,L,43.9,10.28,6.94,12.27,11.62
LA3795,S. peruvianum,L,29.73,5.33,8.75,8.21,NA
LA2773,S. chilense,L,32.53,4.06,0.36,11.74,14.94
LA1028,S. chmielewskii,L,34.29,0.07,5.43,6.63,6.95
LA1361,S. habrochaites,L,31.15,3.59,5.43,11.34,6.7
LA1912,S. pennellii,L,26.31,5.22,4.52,8.12,2.53
LA3791,S. pennellii,L,15.67,8.16,7.26,11.95,4.09
LA1474,S. peruvianum,L,51.49,14.43,11.42,11.48,16.52
LA1958,S. chilense,L,42.26,7.74,0.08,2.32,21.14
LA2884,S. chilense,L,36.4,3.38,0.65,7.06,10.17
LA1306,S. chmielewskii,L,28.87,5.07,8.98,10.97,9.5
LA2663,S. chmielewskii,L,28.72,2.39,10.22,6.66,NA
LA1363,S. habrochaites,L,28.16,11.96,9.91,17.34,8.91
LA2560,S. pennellii,L,35.83,3.76,3.94,3.32,NA
LA1954,S. peruvianum,L,39.66,11.88,4.59,11.55,13.27
LA1969,S. chilense,L,20.13,3.66,2.89,13.26,7.3
LA2891,S. chilense,L,49.31,18.97,0.04,23.12,7.77
LA1316,S. chmielewskii,L,39.51,3.5,6.28,8.79,7.44
LA2695,S. chmielewskii,L,32.29,1.48,5.95,3.62,NA
LA1691,S. habrochaites,L,27.43,6,2.98,5.5,3.48
LA2204,S. habrochaites,L,32.34,6.86,5.75,8.1,9.58
LA2580,S. pennellii,L,29.94,13.15,10.51,10.52,4.35
LA1305,S. peruvianum,L,31.25,6.46,6.97,15.92,9.68
LA1973,S. peruvianum,L,69.21,14.84,0,22.17,9.79
LA2748,S. chilense,L,37.93,11.78,0.07,19.06,17.09
LA2931,S. chilense,L,43.61,3.68,0,3.7,NA
LA1317,S. chmielewskii,L,40.19,7.09,0.89,18.38,17.68
LA361,S. habrochaites,L,44.51,8.15,11.57,8.97,9.65
LA1918,S. habrochaites,L,47.26,5.71,0.02,9.36,6.84
LA1367,S. pennellii,L,37.27,6.86,19.16,21.78,11.73
LA1336,S. peruvianum,L,61.28,13.32,6.58,6.7,4.29
LA3795,S. peruvianum,L,33.58,4.65,6.3,7.53,4.37
LA2773,S. chilense,L,47.63,6.74,1.18,11.48,15.37
LA1318,S. chmielewskii,L,41.11,4.16,11.6,7.88,NA
LA1361,S. habrochaites,L,31.63,7.24,7.85,14.55,13.08
LA1912,S. pennellii,L,19.88,7.67,7.35,15.86,6.56
LA3791,S. pennellii,L,62.74,8.58,4.25,4.54,NA
LA1474,S. peruvianum,L,55.16,10.39,0.03,4.71,NA
LA1958,S. chilense,L,41.54,5.02,6.59,14.98,13.05
LA2884,S. chilense,L,42.59,5.45,1.78,0.14,6.48
LA1306,S. chmielewskii,L,34.72,2.93,6.19,10.17,7.94
LA2663,S. chmielewskii,L,35.77,4.81,10.73,11.58,7.64
LA1363,S. habrochaites,L,29.85,12.18,12.28,10.56,2.87
LA2167,S. habrochaites,L,35.23,3.59,0.51,2.79,0.94
LA2560,S. pennellii,L,33.16,11.48,16.72,20.53,8.37
LA446,S. peruvianum,L,31.53,4.23,6.86,12.14,8.47
LA1954,S. peruvianum,L,43.14,10.38,10.44,15.22,5.93
LA1969,S. chilense,L,22.66,0.19,0.19,5.38,0.85
LA1316,S. chmielewskii,L,54.06,1.7,1.28,3.5,3.76
LA2695,S. chmielewskii,L,44.6,1.77,1.08,5.41,2.24
LA1691,S. habrochaites,L,30.42,4.85,3.22,5.72,3.8
LA2204,S. habrochaites,L,33.58,3.33,4.64,3.02,NA
LA1305,S. peruvianum,L,15.85,5.72,3.18,9.57,7.89
LA1973,S. peruvianum,L,63.1,25.05,6.59,17.15,11.06
LA2931,S. chilense,L,36.64,8.11,5.49,16.13,15.51
LA1317,S. chmielewskii,L,35.68,5.67,13.58,26.44,15.34
LA361,S. habrochaites,L,28.43,12.34,20.03,13.53,11.96
LA1367,S. pennellii,L,34.73,16.51,5.15,9.12,2.94
LA3788,S. pennellii,L,26.24,15.37,5.88,9.45,2.51
LA1336,S. peruvianum,L,51.77,9.65,13.93,17.23,15.04
LA3795,S. peruvianum,L,53.92,16.46,9.4,12.33,8.04
LA2773,S. chilense,L,46.87,6.67,0.43,10.91,11.12
LA1028,S. chmielewskii,L,35.76,0.25,3.12,7.84,9.21
LA1318,S. chmielewskii,L,31.63,11.05,15,10.99,4.42
LA1361,S. habrochaites,L,33.82,13.81,11.36,17.5,10.68
LA1928,S. habrochaites,L,24.84,13.17,0.05,19.06,4.64
LA1912,S. pennellii,L,34.47,5.62,9.39,11.17,6.05
LA3791,S. pennellii,L,20.78,4.25,3.53,6.04,3.65
LA1474,S. peruvianum,L,64.42,4.55,2.95,2.71,1.08
LA1958,S. chilense,L,57.47,8.08,3.03,5.32,9.01
LA2884,S. chilense,L,42.8,4.18,3.77,6.67,7.32
LA1306,S. chmielewskii,L,30.85,4.71,0.41,19.82,17.1
LA2663,S. chmielewskii,L,34.57,2.49,9.43,12.74,10.34
LA1363,S. habrochaites,L,35.9,12.92,15.74,16.9,7.95
LA2167,S. habrochaites,L,35.87,4.85,7.19,11.79,9.96
LA716,S. pennellii,L,24.23,0.39,2.91,4.7,6.84
LA446,S. peruvianum,L,37.61,8.28,4.82,3.39,1.83
LA1954,S. peruvianum,L,34.45,1.48,0,0.8,NA
LA1969,S. chilense,L,34.6,1.7,0.16,10.33,2.96
LA1316,S. chmielewskii,L,45.86,2.83,6.72,13.47,8.54
LA2695,S. chmielewskii,L,38.4,4.37,8.41,14.51,9.96
LA1691,S. habrochaites,L,43.95,6.42,0.32,9.6,4.84
LA2204,S. habrochaites,L,31.6,6.24,11.42,16.17,10.35
LA2580,S. pennellii,H,26.58,1.17,0.28,0.69,NA
LA1305,S. peruvianum,H,36.36,2.14,2.95,7.5,4.12
LA1973,S. peruvianum,H,45.24,8.83,6.75,6.62,4.06
LA2931,S. chilense,H,44.75,2.66,0.28,3.56,1.49
LA1317,S. chmielewskii,H,42.58,3.21,2.62,5.8,4.15
LA361,S. habrochaites,H,35.68,6.67,6.69,3.58,4.49
LA1918,S. habrochaites,H,37.66,4.67,0.17,6.28,3.08
LA1367,S. pennellii,H,33.47,3.48,1.92,3.76,NA
LA1336,S. peruvianum,H,39.22,3.52,0.01,0.01,NA
LA3795,S. peruvianum,H,35.46,2.22,1.36,1.52,NA
LA2773,S. chilense,H,38.87,0.62,0.27,0.65,7.91
LA1028,S. chmielewskii,H,34.7,0.01,0.64,5.8,3.27
LA1318,S. chmielewskii,H,28.26,3.37,4.69,3.32,NA
LA1361,S. habrochaites,H,39.67,1.58,2.66,6.7,4.4
LA1912,S. pennellii,H,19.58,0.22,1.2,2.37,NA
LA3791,S. pennellii,H,40.93,1.36,0.35,1.22,NA
LA1474,S. peruvianum,H,42.39,2.08,2.64,4,1.76
LA1958,S. chilense,H,65.32,3.02,0.01,1.41,NA
LA1306,S. chmielewskii,H,28.59,1.92,0.02,5.44,3.56
LA2663,S. chmielewskii,H,31.52,2.32,7.13,6.45,NA
LA1363,S. habrochaites,H,33.95,10.02,5.42,10.05,3.95
LA2167,S. habrochaites,H,28.58,3.11,3.68,4.13,3.69
LA446,S. peruvianum,H,28.9,2.55,2.95,0.65,NA
LA1954,S. peruvianum,H,45.36,4.52,6.49,4.34,3.7
LA1969,S. chilense,H,20.35,0.07,0.07,2,0.52
LA1316,S. chmielewskii,H,39.08,0.77,2.86,2.51,0.17
LA2695,S. chmielewskii,H,28.17,0.7,1.59,NA,NA
LA1691,S. habrochaites,H,37.54,5.12,2.08,2.83,0.78
LA2204,S. habrochaites,H,20.1,4.37,9.9,5.88,5.9
LA2580,S. pennellii,H,23.75,1.78,1.14,2.51,0.96
LA1305,S. peruvianum,H,34.38,3.7,6.13,4.93,5.2
LA1973,S. peruvianum,H,28.11,2.15,3.23,5.56,3.1
LA1317,S. chmielewskii,H,34.15,4.29,5.97,8.22,4
LA361,S. habrochaites,H,29.82,8.12,14.64,5.68,3.93
LA1918,S. habrochaites,H,56.81,2.69,1.47,3.79,5.57
LA1367,S. pennellii,H,22.56,0.67,3.69,4.88,3.98
LA3788,S. pennellii,H,33.61,1.06,0.83,1.51,0.58
LA1336,S. peruvianum,H,58.84,4.75,3.3,5.81,3.68
LA3795,S. peruvianum,H,25.37,3.65,2.83,2.64,NA
LA2773,S. chilense,H,41.4,2.21,3.89,2.41,2.3
LA1028,S. chmielewskii,H,32.47,0.13,0,3.73,2.68
LA1318,S. chmielewskii,H,28.03,5.83,7.59,11.9,5.19
LA1361,S. habrochaites,H,32.05,2.42,4.61,4.39,5.2
LA2931,S. chilense,H,28.99,0.23,0.11,0.71,0.44
LA1912,S. pennellii,H,18.4,0.64,0.33,3.38,2.64
LA3791,S. pennellii,H,33.17,0.79,0.73,1.26,NA
LA1474,S. peruvianum,H,51.77,1.95,2.75,7.08,2.84
LA1958,S. chilense,H,40.78,3.67,0.66,1.06,3.82
LA2884,S. chilense,H,44.43,0.88,0.09,3.87,1.05
LA1306,S. chmielewskii,H,27.39,0.04,2.1,1.63,NA
LA2663,S. chmielewskii,H,26.41,2.36,7.11,5.34,4.35
LA1363,S. habrochaites,H,29.11,3.33,7.81,4.15,2.77
LA2167,S. habrochaites,H,23.33,3.31,4.32,6.82,4.8
LA716,S. pennellii,H,15.69,1.08,0.04,NA,NA
LA446,S. peruvianum,H,22.77,2.39,7.59,4.98,4.67
LA1954,S. peruvianum,H,40.77,7.85,2.32,6.98,1.55
LA1969,S. chilense,H,26.64,0.02,0.03,0.27,0.55
LA2891,S. chilense,H,34.33,1.54,0.84,1.21,0.77
LA1316,S. chmielewskii,H,40,1.99,2.94,3.88,4.12
LA2695,S. chmielewskii,H,35.34,3.3,5.73,7.5,6.36
LA1691,S. habrochaites,H,32.03,3.87,0.91,1.34,2.12
LA2204,S. habrochaites,H,35.9,2.23,5.78,4.96,4.21
LA2580,S. pennellii,H,23.36,1.62,2.31,0.63,NA
LA1305,S. peruvianum,H,29.23,2.15,2.6,3.73,0.7
LA1973,S. peruvianum,H,31.6,9.33,4.55,9.16,8.2
LA2748,S. chilense,H,34.8,1.44,1.05,2.17,2.32
LA2931,S. chilense,H,29.32,1.24,0.59,1.16,0.86
LA1317,S. chmielewskii,H,32.92,2.58,5.9,6.29,4.31
LA3788,S. pennellii,H,16.27,1.08,0.45,1.67,1.24
LA3795,S. peruvianum,H,36.19,0.38,0.12,0.36,NA
LA2773,S. chilense,H,49.53,0.71,0.4,1.29,0.8
LA1028,S. chmielewskii,H,23.06,0.28,0.95,1.59,1.05
LA1318,S. chmielewskii,H,19.33,3.5,6.27,6.51,2.88
LA1361,S. habrochaites,H,29.07,2.83,5.99,3.16,4.18
LA1912,S. pennellii,H,17.47,1.51,1.13,1.38,NA
LA3791,S. pennellii,H,25.38,0.12,0.43,0.5,0.44
LA1474,S. peruvianum,H,51.55,1.34,0.13,0.87,3.32
LA1958,S. chilense,H,29.95,0.89,0.85,0.47,NA
LA2884,S. chilense,H,27.76,1.48,0.67,0.51,0.38
LA1306,S. chmielewskii,H,25.64,1.3,1.89,3.42,0.74
LA2663,S. chmielewskii,H,31.06,1.17,3.39,2.93,0.94
LA1363,S. habrochaites,H,24.06,5.61,3.11,4.02,1.61
LA2167,S. habrochaites,H,24.71,3.16,1.18,2.7,2.45
LA716,S. pennellii,H,19.46,4.23,3.05,3.04,1.33
LA446,S. peruvianum,H,35.75,1.26,2.24,1.33,0.7
LA1954,S. peruvianum,H,27.8,2,4.72,4.94,6.18
LA1969,S. chilense,H,31.47,0.45,0.51,0.56,NA
LA2891,S. chilense,H,26.78,0.84,0.09,1.19,1.2
LA1316,S. chmielewskii,H,44.88,1.78,2.34,3.04,1.91
LA2695,S. chmielewskii,H,27.7,2.32,2.71,2,0.95
LA1691,S. habrochaites,H,30.41,2.45,1.41,2.24,1.96
LA2204,S. habrochaites,H,36.34,6.31,0.55,4.33,2.74
LA2580,S. pennellii,L,44.1,6.9,5.91,6.14,2.71
LA1305,S. peruvianum,L,24.36,5.3,0.85,11.23,4.34
LA1973,S. peruvianum,L,42.45,11.06,9.56,20.68,10.32
LA2748,S. chilense,L,49.97,7.99,5.26,14.9,7.8
LA2931,S. chilense,L,48.54,7.82,2.07,2.62,0.89
LA1317,S. chmielewskii,L,39.11,5.85,4.94,21.15,17.9
LA361,S. habrochaites,L,38.62,9.88,7.67,8.86,10.04
LA1918,S. habrochaites,L,40.63,4.24,1.06,5.97,3.59
LA1367,S. pennellii,L,15.36,2.56,1.39,2.43,0.7
LA3788,S. pennellii,L,51.58,9.17,8.37,8.48,2.88
LA1336,S. peruvianum,L,55.33,14.56,3.36,7.78,4.38
LA3795,S. peruvianum,L,33.75,3.72,7.01,6.62,4.84
LA2773,S. chilense,L,23.83,2.95,0.39,7.52,8.03
LA1028,S. chmielewskii,L,38.49,0.27,2.88,6.63,8.3
LA1318,S. chmielewskii,L,30.9,12.55,14.94,20.99,7.27
LA1361,S. habrochaites,L,32.72,20.48,21.22,22.6,10.39
LA2931,S. chilense,L,42.46,4.21,4.35,6.87,7.87
LA1912,S. pennellii,L,18.12,5.57,5.44,6.05,2.8
LA3791,S. pennellii,L,20.16,3.94,5.36,6.45,2.78
LA1474,S. peruvianum,L,47.36,11.27,3.17,6.59,8.46
LA1958,S. chilense,L,38.46,4.87,0.69,6.1,10.15
LA2884,S. chilense,L,34.04,2.19,0.19,8.4,6.41
LA1306,S. chmielewskii,L,34.45,2.39,0.38,10.11,9.01
LA2663,S. chmielewskii,L,30.19,2.79,7.96,10.65,8.34
LA1363,S. habrochaites,L,25.58,8.48,10.47,7.5,4.25
LA2167,S. habrochaites,L,35.08,3.82,4.61,13.48,9.82
LA716,S. pennellii,L,30.44,6.5,4.18,9.7,6.92
LA446,S. peruvianum,L,40.11,6.18,7.28,7.53,3.68
LA1954,S. peruvianum,L,45.27,6.57,5.45,10.04,7.45
LA1969,S. chilense,L,29.73,8.06,9.11,16.41,7.52
LA2891,S. chilense,L,46.38,14.58,10.66,10.26,5.74
LA1316,S. chmielewskii,L,44.01,3.52,2.7,8.89,6.9
LA2695,S. chmielewskii,L,37.74,2.6,3.41,2.21,0.73
LA1691,S. habrochaites,L,40.3,10.23,1.76,5.32,4.95
LA2204,S. habrochaites,L,32.44,5.67,8.03,18.05,15.75
LA1973,S. peruvianum,H,34.29,11.43,5.12,7.83,4.54
LA1317,S. chmielewskii,H,33.59,2.79,0.95,9.26,7.77
LA361,S. habrochaites,H,41.06,4.57,0.23,5.81,5.64
LA1918,S. habrochaites,H,39.97,3.43,0.43,4.39,5.05
LA1367,S. pennellii,H,10.61,2.73,1.24,2.22,1.52
LA3788,S. pennellii,H,36,0.67,0.77,1.22,0.66
LA1336,S. peruvianum,H,44.6,3.36,2.51,7.52,6.08
LA3795,S. peruvianum,H,27.28,2.42,0.65,1.34,NA
LA2773,S. chilense,H,41.73,0.82,0.5,1.55,2.32
LA1028,S. chmielewskii,H,35.86,1.3,2.62,4.75,1.76
LA1318,S. chmielewskii,H,21.68,3.27,5.32,6.48,3.32
LA1361,S. habrochaites,H,29.24,0.9,1.69,2.82,5.48
LA1912,S. pennellii,H,22.7,0.85,1.65,1.38,1.39
LA1474,S. peruvianum,H,64,2.23,3.25,2.32,1.25
LA1958,S. chilense,H,29.8,3.65,1.47,3.84,2.55
LA2884,S. chilense,H,31.7,1.49,0.52,2.67,2.19
LA1306,S. chmielewskii,H,23.37,1.16,4.08,3.17,2.83
LA2663,S. chmielewskii,H,20.22,1.69,6.08,4.2,3.15
LA1363,S. habrochaites,H,27.04,2.47,6.02,2.02,2.48
LA2167,S. habrochaites,H,30.35,1.7,1.72,4.32,2.44
LA716,S. pennellii,H,14.21,1.31,1.31,1.33,NA
LA446,S. peruvianum,H,30.05,1.54,1.57,1.24,0.95
LA1954,S. peruvianum,H,26.86,2.58,1.26,2.43,1.6
LA1969,S. chilense,H,21.4,0.33,0.48,1.82,1.15
LA2891,S. chilense,H,39.03,3.83,0.83,3.21,1.57
LA1316,S. chmielewskii,H,25.54,1.16,0.28,2.21,1.95
LA2695,S. chmielewskii,H,25.5,2.04,2.55,4.57,3.39
LA1691,S. habrochaites,H,31.95,2.77,0.55,2.53,1.74
LA2204,S. habrochaites,H,29.39,4.1,5.72,7.35,5.81
LA2580,S. pennellii,L,35.55,5.92,3.52,5.57,2.33
LA1305,S. peruvianum,L,34.62,0.74,6.64,0.55,2.65
LA1973,S. peruvianum,L,46.68,18.15,1.85,13.37,7.34
LA2748,S. chilense,L,31.82,4.03,1.34,5.68,NA
LA2931,S. chilense,L,27.4,6.59,3.12,5.39,9.47
LA1317,S. chmielewskii,L,41.76,10.1,13.91,19.39,18.3
LA361,S. habrochaites,L,42.54,11.6,10.11,10.35,9.29
LA1918,S. habrochaites,L,34.55,4.35,0.12,2.96,3.44
LA1367,S. pennellii,L,40.46,16.52,11.66,15.28,6.43
